firstName,sg_arg_rank,countryCode,100_150_fw_good_shot_rate,distance_rank,dg_index,std_deviation,over_200_fw_poor_shot_avoid_rate,country_y,course_experience_adjustment,over_150_rgh_good_shot_rate,sg_app_rank,over_200_fw_shot_count,50_100_fw_proximity_per_shot,driving_distance_adjustment,id,sg_arg,over_150_rgh_proximity_per_shot,50_100_fw_shot_count,100_150_fw_shot_count,home_page,baseline_pred,under_150_rgh_good_shot_rate,hidden,distance_pred,strokesGainedTrends,driving_dist,150_200_fw_good_shot_rate,under_150_rgh_poor_shot_avoid_rate,strokes_gained_category_adjustment,driving_acc,100_150_fw_low_data_indicator,country_adjustment,sg_putt_pred,150_200_fw_gir_rate,over_200_fw_gir_rate,50_100_fw_good_shot_rate,am,150_200_fw_low_data_indicator,timing_adjustment,dataGolfRanking,lastName,course_history_adjustment,sg_putt,over_200_fw_good_shot_rate,over_150_rgh_gir_rate,accuracy_pred,cf_short_comp,sample_size,100_150_fw_gir_rate,dg_change,over_150_rgh_sg_per_shot,cf_approach_comp,100_150_fw_sg_per_shot,sg_arg_pred,50_100_fw_low_data_indicator,perkcuppoints2020,owgr_rank,true_sg_adjustments,under_150_rgh_sg_per_shot,perkcuppoints2024,under_150_rgh_shot_count,other_fit_adjustment,150_200_fw_shot_count,dg_id_x,sg_total_rank,over_200_fw_sg_per_shot,over_150_rgh_poor_shot_avoid_rate,sg_app,owgr_change,50_100_fw_gir_rate,dg_rank,sg_total,nextBlockTotalPlayerFieldPoints,sg_putt_rank,over_150_rgh_shot_count,sg_ott_pred,perkcuppoints2023,dg_id,100_150_fw_proximity_per_shot,over_200_fw_proximity_per_shot,age_adjustment,over_200_fw_low_data_indicator,perkcuppoints2022,sg_total_pred,age,50_100_fw_sg_per_shot,perkcuppoints2021,over_150_rgh_low_data_indicator,dg_id_y,under_150_rgh_proximity_per_shot,sg_ott_rank,under_150_rgh_gir_rate,150_200_fw_sg_per_shot,dataGolfIndex,accuracy_rank,total_course_history_adjustment,total_fit_adjustment,final_pred,country_x,sg_app_pred,driving_accuracy_adjustment,playerSkillRatings,player_name,150_200_fw_proximity_per_shot,sg_ott,50_100_fw_poor_shot_avoid_rate,amateur_status,100_150_fw_poor_shot_avoid_rate,under_150_rgh_low_data_indicator,primary_tour,150_200_fw_poor_shot_avoid_rate,comments
Russell,12.0,USA,0.087,319.0,1.628,,0.966,,,0.068,17.0,414.0,15.04,,14578.0,0.282,55.311,227.0,610.0,,,0.066,,-6.572,"{'baseline_pred': nan, 'final_pred': nan}",-6.572,0.055,0.964,,0.102,0.0,,0.306,0.694,0.466,0.097,,0.0,,7.0,Henley,,0.306,0.048,0.363,0.102,,,0.845,0.0,0.05,,0.066,0.282,0.0,190.0,14.0,,0.075,190.0,166.0,,861.0,,9.0,0.015,0.979,0.604,0.0,0.909,7.0,1.532,,32.0,234.0,0.339,85.0,14578.0,19.363,48.958,,0.0,205.0,1.532,,0.055,390.0,0.0,14578.0,32.496,45.0,0.616,0.012,1.628,3.0,,,,United States,0.604,,"{'sg_putt': 0.306, 'sg_arg': 0.282, 'sg_app': 0.604, 'sg_ott': 0.339, 'sg_total': 1.532}","Henley, Russell",31.143,0.339,0.969,Top 30,0.974,0.0,PGA TOUR,0.952,
Si Woo,70.0,KOR,0.082,247.0,0.955,2.61976884331584,0.971,KOR,0.0071180732292048,0.061,19.0,509.0,15.065,0.0285291339462539,14609.0,0.094,56.3,194.0,595.0,,0.964539601590304,0.064,,-2.333,"{'baseline_pred': 0.964539601590304, 'final_pred': 0.916699914722666}",-2.333,0.056,0.943,0.0793850191936754,0.066,0.0,0.0,0.019,0.652,0.499,0.119,0.0,0.0,-0.125601053818182,29.0,Kim,-0.038118458511007,0.019,0.067,0.358,0.066,0.0028804286488235,150.0,0.768,3.0,0.014,0.0052435536017669,-0.004,0.094,0.0,285.0,59.0,-0.0454168385937938,0.015,195.0,265.0,0.0081239822505905,978.0,14609.0,28.0,0.07,0.958,0.576,-4.0,0.854,29.0,1.008,,158.0,264.0,0.319,105.0,14609.0,21.822,43.67,0.0142849593021025,0.0,160.0,1.008,29.0,0.063,325.0,0.0,14609.0,38.61,50.0,0.548,0.013,0.955,21.0,-0.0310003852818021,0.060508612330362,0.916699914722666,Korea - Republic of,0.576,0.0238554961335176,"{'sg_putt': 0.019, 'sg_arg': 0.094, 'sg_app': 0.576, 'sg_ott': 0.319, 'sg_total': 1.008}","Kim, Si Woo",30.144,0.319,0.954,Top 50,0.923,0.0,PGA TOUR,0.95,
Jordan,81.0,USA,0.083,75.0,0.321,,0.958,,,0.04,116.0,377.0,18.173,,14636.0,0.084,60.982,179.0,515.0,,,0.077,,7.166,"{'baseline_pred': nan, 'final_pred': nan}",7.166,0.053,0.946,,0.017,0.0,,-0.078,0.689,0.452,0.078,,0.0,,104.0,Spieth,,-0.078,0.05,0.357,0.017,,,0.794,-1.0,0.013,,0.009,0.084,0.0,120.0,62.0,,0.046,205.0,259.0,,755.0,,61.0,-0.01,0.96,0.093,-3.0,0.855,104.0,0.556,,217.0,251.0,0.457,155.0,14636.0,22.236,48.079,,0.0,330.0,0.556,,-0.003,400.0,0.0,14636.0,36.296,26.0,0.607,0.011,0.321,122.0,,,,United States,0.093,,"{'sg_putt': -0.078, 'sg_arg': 0.084, 'sg_app': 0.093, 'sg_ott': 0.457, 'sg_total': 0.556}","Spieth, Jordan",30.671,0.457,0.95,Top 100,0.936,0.0,PGA TOUR,0.947,
Joseph,63.0,USA,0.091,35.0,-0.158,2.6343676032527,0.947,USA,0.0017061132914446,0.084,69.0,302.0,15.883,-0.108820488381347,14698.0,0.116,59.556,143.0,428.0,,-0.218155501392936,0.035,,10.411,"{'baseline_pred': -0.218155501392936, 'final_pred': -0.0001011016571906}",10.411,0.058,0.927,0.302925698552273,-0.05,0.0,0.0,-0.499,0.697,0.465,0.091,0.0,0.0,0.05911636625078,182.0,Bramlett,-0.0587225820689599,-0.499,0.033,0.404,-0.05,-0.0163878570019643,150.0,0.802,13.0,0.029,0.0028346120108757,0.005,0.116,0.0,255.0,274.0,0.0682087815409213,-0.051,120.0,287.0,-0.0135532449910885,639.0,14698.0,131.0,-0.024,0.954,0.245,10.0,0.922,182.0,0.132,,402.0,238.0,0.27,55.0,14698.0,23.28,49.888,-0.0174842669295661,0.0,210.0,0.132,36.0,0.075,280.0,0.0,14698.0,42.124,67.0,0.56,0.013,-0.158,349.0,-0.0570164687775153,-0.1376957109011479,-0.0001011016571906,United States,0.245,-0.0153219775287124,"{'sg_putt': -0.499, 'sg_arg': 0.116, 'sg_app': 0.245, 'sg_ott': 0.27, 'sg_total': 0.132}","Bramlett, Joseph",31.526,0.27,0.965,Cond 126-150,0.935,0.0,PGA TOUR,0.941,
Andrew,24.0,USA,0.093,402.0,0.401,2.60651331336654,0.955,USA,0.0178441197502498,0.057,45.0,426.0,16.562,0.193880314965399,14704.0,0.237,59.985,182.0,514.0,,0.459619838481344,0.09,,-18.202,"{'baseline_pred': 0.459619838481344, 'final_pred': 0.600708610531209}",-18.202,0.044,0.926,-0.153425912059283,0.06,0.0,0.0,0.153,0.716,0.527,0.088,0.0,0.0,0.0413311141351935,88.0,Putnam,0.0216436183502105,0.153,0.061,0.4,0.06,0.0165097793850075,150.0,0.862,-6.0,0.014,0.0037589213987845,0.048,0.237,0.0,80.0,134.0,-0.0080158412328369,0.033,140.0,189.0,0.0202687007837921,944.0,14704.0,112.0,0.032,0.951,0.345,-5.0,0.886,88.0,0.219,,86.0,283.0,-0.514,70.0,14704.0,21.497,46.854,-0.0138326317305237,0.0,170.0,0.219,35.0,0.044,325.0,0.0,14704.0,36.328,353.0,0.613,0.002,0.401,26.0,0.0394877381004604,0.235544304836855,0.600708610531209,United States,0.345,0.0213952890876639,"{'sg_putt': 0.153, 'sg_arg': 0.237, 'sg_app': 0.345, 'sg_ott': -0.514, 'sg_total': 0.219}","Putnam, Andrew",32.592,-0.514,0.967,Top 100,0.961,0.0,PGA TOUR,0.957,
Carlos,,MEX,,,0.475,,,,,,,,,,14735.0,,,,,,,,,,"{'baseline_pred': nan, 'final_pred': nan}",,,,,,,,,,,,,,,77.0,Ortiz,,,,,,,,,3.0,,,,,,255.0,324.0,,,405.0,,,,,,,,,-8.0,,77.0,,,,,,360.0,,,,,,180.0,,,,325.0,,,,,,,0.475,,,,,Mexico,,,"{'sg_putt': nan, 'sg_arg': nan, 'sg_app': nan, 'sg_ott': nan, 'sg_total': nan}","Ortiz, Carlos",,,,0,,,LIV Tour,,
Alexander,169.0,SWE,0.069,398.0,-0.343,,0.988,,,0.077,238.0,170.0,18.424,,14775.0,-0.023,60.393,69.0,159.0,,,0.138,,-17.662,"{'baseline_pred': nan, 'final_pred': nan}",-17.662,0.04,0.985,,0.056,0.0,,0.316,0.642,0.461,0.087,,0.0,,238.0,Bjork,,0.316,0.047,0.274,0.056,,,0.815,-1.0,-0.018,,0.009,-0.023,0.0,,169.0,,0.06,65.0,65.0,,324.0,,224.0,0.041,0.956,-0.269,-4.0,0.874,238.0,-0.521,,27.0,91.0,-0.546,,14775.0,22.448,44.391,,0.0,,-0.521,,-0.008,,0.0,14775.0,35.894,359.0,0.604,-0.023,-0.343,35.0,,,,Sweden,-0.269,,"{'sg_putt': 0.316, 'sg_arg': -0.023, 'sg_app': -0.269, 'sg_ott': -0.546, 'sg_total': -0.521}","Bjork, Alexander",33.076,-0.546,0.942,0,0.956,0.0,PGA TOUR,0.954,
Patrick,2.0,USA,,238.0,0.812,,0.949,,,0.071,88.0,98.0,13.301,,14838.0,0.342,58.286,38.0,,,,0.167,,-2.02,"{'baseline_pred': nan, 'final_pred': nan}",-2.02,0.062,0.944,,0.006,,,0.309,0.593,0.452,0.053,,1.0,,43.0,Reed,,0.309,0.041,0.387,0.006,,,,7.0,0.034,,,0.342,0.0,460.0,128.0,,0.083,375.0,36.0,,128.0,,43.0,-0.014,0.976,0.173,36.0,0.883,43.0,0.797,,31.0,42.0,-0.027,535.0,14838.0,,53.381,,0.0,250.0,0.797,,0.065,450.0,1.0,14838.0,38.477,185.0,0.664,-0.03,0.812,153.0,,,,United States,0.173,,"{'sg_putt': 0.309, 'sg_arg': 0.342, 'sg_app': 0.173, 'sg_ott': -0.027, 'sg_total': 0.797}","Reed, Patrick",32.029,-0.027,0.921,0,,0.0,LIV Tour,0.922,
Brandon,,USA,,,-0.407,,,,,,,,,,14847.0,,,,,,,,,,"{'baseline_pred': nan, 'final_pred': nan}",,,,,,,,,,,,,,,260.0,Crick,,,,,,,,,-4.0,,,,,,185.0,333.0,,,385.0,,,,,,,,,-8.0,,260.0,,,,,,185.0,,,,,,245.0,,,,145.0,,,,,,,-0.407,,,,,United States,,,"{'sg_putt': nan, 'sg_arg': nan, 'sg_app': nan, 'sg_ott': nan, 'sg_total': nan}","Crick, Brandon",,,,0,,,Korn Ferry Tour,,
Peter,77.0,USA,0.076,265.0,-1.075,2.72699503572257,0.936,USA,0.032800414594947,0.041,300.0,313.0,18.022,0.0334183576062138,14926.0,0.087,64.261,169.0,511.0,,-0.948393741155461,0.056,,-3.041,"{'baseline_pred': -0.948393741155461, 'final_pred': -0.975677885894226}",-3.041,0.056,0.918,-0.0673220506014205,-0.079,0.0,0.0,-0.065,0.67,0.387,0.083,0.0,0.0,0.0101996247746522,487.0,Malnati,-0.0316474186264342,-0.065,0.054,0.354,-0.079,0.0023642580899495,150.0,0.764,-50.0,-0.02,-0.0037527969306125,-0.009,0.087,0.0,130.0,124.0,0.0443794701233903,-0.009,195.0,340.0,-0.0013885388406629,682.0,14926.0,324.0,-0.041,0.949,-0.473,-5.0,0.86,487.0,-1.182,,205.0,294.0,-0.731,60.0,14926.0,22.951,52.446,-0.0211359021286086,0.0,105.0,-1.182,37.0,-0.004,115.0,0.0,14926.0,37.956,384.0,0.597,0.003,-1.075,396.0,0.0011529959685126,0.0054417171247083,-0.975677885894226,United States,-0.473,-0.0265881016408425,"{'sg_putt': -0.065, 'sg_arg': 0.087, 'sg_app': -0.473, 'sg_ott': -0.731, 'sg_total': -1.182}","Malnati, Peter",33.241,-0.731,0.953,Top 100,0.922,0.0,PGA TOUR,0.934,
