firstName,sg_arg_rank,countryCode,100_150_fw_good_shot_rate,distance_rank,dg_index,std_deviation,over_200_fw_poor_shot_avoid_rate,country_y,course_experience_adjustment,over_150_rgh_good_shot_rate,sg_app_rank,over_200_fw_shot_count,50_100_fw_proximity_per_shot,driving_distance_adjustment,id,sg_arg,over_150_rgh_proximity_per_shot,50_100_fw_shot_count,100_150_fw_shot_count,home_page,baseline_pred,under_150_rgh_good_shot_rate,hidden,distance_pred,strokesGainedTrends,driving_dist,150_200_fw_good_shot_rate,under_150_rgh_poor_shot_avoid_rate,strokes_gained_category_adjustment,driving_acc,100_150_fw_low_data_indicator,country_adjustment,sg_putt_pred,150_200_fw_gir_rate,over_200_fw_gir_rate,50_100_fw_good_shot_rate,am,150_200_fw_low_data_indicator,timing_adjustment,dataGolfRanking,lastName,course_history_adjustment,sg_putt,over_200_fw_good_shot_rate,over_150_rgh_gir_rate,accuracy_pred,cf_short_comp,sample_size,100_150_fw_gir_rate,dg_change,over_150_rgh_sg_per_shot,cf_approach_comp,100_150_fw_sg_per_shot,sg_arg_pred,50_100_fw_low_data_indicator,perkcuppoints2020,owgr_rank,true_sg_adjustments,under_150_rgh_sg_per_shot,perkcuppoints2024,under_150_rgh_shot_count,other_fit_adjustment,150_200_fw_shot_count,dg_id_x,sg_total_rank,over_200_fw_sg_per_shot,over_150_rgh_poor_shot_avoid_rate,sg_app,owgr_change,50_100_fw_gir_rate,dg_rank,sg_total,nextBlockTotalPlayerFieldPoints,sg_putt_rank,over_150_rgh_shot_count,sg_ott_pred,perkcuppoints2023,dg_id,100_150_fw_proximity_per_shot,over_200_fw_proximity_per_shot,age_adjustment,over_200_fw_low_data_indicator,perkcuppoints2022,sg_total_pred,age,50_100_fw_sg_per_shot,perkcuppoints2021,over_150_rgh_low_data_indicator,dg_id_y,under_150_rgh_proximity_per_shot,sg_ott_rank,under_150_rgh_gir_rate,150_200_fw_sg_per_shot,dataGolfIndex,accuracy_rank,total_course_history_adjustment,total_fit_adjustment,final_pred,country_x,sg_app_pred,driving_accuracy_adjustment,playerSkillRatings,player_name,150_200_fw_proximity_per_shot,sg_ott,50_100_fw_poor_shot_avoid_rate,amateur_status,100_150_fw_poor_shot_avoid_rate,under_150_rgh_low_data_indicator,primary_tour,150_200_fw_poor_shot_avoid_rate,comments
Rory,65.0,NIR,0.08,2.0,1.959,,0.947,,,0.089,15.0,360.0,17.05,,10091.0,0.113,53.21,147.0,537.0,"['McIlroy, Rory', 0, 'N/A', 'Top 30', '1', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, '3', 4]",,0.063,False,20.613,"{'baseline_pred': nan, 'final_pred': nan}",20.613,0.052,0.951,,-0.003,0.0,,0.35,0.704,0.529,0.129,,0.0,,4.0,McIlroy,,0.35,0.078,0.418,-0.003,,,0.799,0.0,0.081,,0.021,0.113,0.0,305.0,3.0,,0.031,235.0,285.0,,716.0,,4.0,0.058,0.973,0.683,0.0,0.846,4.0,2.048,100.0,21.0,257.0,0.902,245.0,10091.0,21.011,43.122,,0.0,370.0,2.048,,0.025,375.0,0.0,10091.0,34.417,4.0,0.61,0.019,1.959,181.0,,,,Northern Ireland,0.683,,"{'sg_putt': 0.35, 'sg_arg': 0.113, 'sg_app': 0.683, 'sg_ott': 0.902, 'sg_total': 2.048}","McIlroy, Rory",30.346,0.902,0.946,Top 30,0.955,0.0,PGA TOUR,0.948,
Seamus,90.0,IRL,0.061,167.0,0.607,2.67052357460592,0.948,IRL,0.0165645347816663,0.049,97.0,400.0,17.291,-0.0172351499705279,10104.0,0.073,64.395,140.0,592.0,,0.750113911266388,0.043,False,1.385,"{'baseline_pred': 0.750113911266388, 'final_pred': 0.805881354519892}",1.385,0.06,0.952,-0.0265746301286113,0.025,0.0,0.0,0.172,0.685,0.469,0.093,0.0,0.0,0.0931655086783396,63.0,Power,0.0248449578979987,0.172,0.048,0.339,0.025,0.0111987066596701,150.0,0.826,-19.0,-0.011,0.0025017442778651,0.019,0.073,0.0,65.0,123.0,-0.0365544943855792,0.012,90.0,208.0,0.0137004509375353,890.0,10104.0,70.0,-0.0,0.954,0.152,-5.0,0.841,63.0,0.507,20.0,77.0,285.0,0.11,85.0,10104.0,21.563,49.886,-0.0222313926883212,0.0,280.0,0.507,37.0,0.011,340.0,0.0,10104.0,38.688,132.0,0.592,0.004,0.607,98.0,0.041409492679665,0.0065529590980107,0.805881354519892,Ireland,0.152,0.0100876581310033,"{'sg_putt': 0.172, 'sg_arg': 0.073, 'sg_app': 0.152, 'sg_ott': 0.11, 'sg_total': 0.507}","Power, Seamus",31.083,0.11,0.929,Top 51-60,0.941,0.0,PGA TOUR,0.946,
Alex,32.0,SWE,0.092,289.0,1.004,,0.975,,,0.056,28.0,362.0,17.798,,10419.0,0.205,56.385,145.0,436.0,,,0.084,False,-4.345,"{'baseline_pred': nan, 'final_pred': nan}",-4.345,0.051,0.942,,0.025,0.0,,0.214,0.693,0.452,0.131,,0.0,,25.0,Noren,,0.214,0.039,0.383,0.025,,,0.828,2.0,0.034,,0.01,0.205,0.0,165.0,54.0,,0.036,230.0,225.0,,803.0,,34.0,0.003,0.955,0.451,-1.0,0.858,25.0,0.948,,58.0,268.0,0.077,25.0,10419.0,23.491,46.626,,0.0,315.0,0.948,,0.052,265.0,0.0,10419.0,37.409,144.0,0.585,0.007,1.004,99.0,,,,Sweden,0.451,,"{'sg_putt': 0.214, 'sg_arg': 0.205, 'sg_app': 0.451, 'sg_ott': 0.077, 'sg_total': 0.948}","Noren, Alex",32.616,0.077,0.945,Top 50,0.943,0.0,PGA TOUR,0.949,
David,258.0,ENG,0.065,183.0,-0.837,2.7308703960216,0.981,ENG,-0.0171868098134784,0.056,218.0,158.0,17.0,-0.0121066086414243,10873.0,-0.124,61.109,77.0,260.0,,-0.751787464888243,0.086,False,0.678,"{'baseline_pred': -0.751787464888243, 'final_pred': -0.95080123913229}",0.678,0.054,0.914,-0.107694497612447,-0.06,0.0,0.0,-0.189,0.684,0.551,0.078,0.0,0.0,0.0159133368664145,394.0,Skinns,0.0148985766071171,-0.189,0.057,0.404,-0.06,-0.0103085278237842,150.0,0.771,-34.0,0.025,-0.001313019264668,-0.011,-0.124,0.0,120.0,198.0,-0.0140224797198657,0.004,185.0,151.0,-0.0116215470884523,355.0,10873.0,304.0,0.062,0.972,-0.23,-10.0,0.842,394.0,-1.069,,297.0,142.0,-0.526,440.0,10873.0,23.566,45.148,-0.0445063674024797,0.0,75.0,-1.069,42.0,0.012,465.0,0.0,10873.0,39.744,357.0,0.568,0.025,-0.837,366.0,-0.0022882332063613,-0.0464155331693081,-0.95080123913229,England,-0.23,-0.0226873774394315,"{'sg_putt': -0.189, 'sg_arg': -0.124, 'sg_app': -0.23, 'sg_ott': -0.526, 'sg_total': -1.069}","Skinns, David",30.101,-0.526,0.961,Top 125,0.908,0.0,PGA TOUR,0.961,
Estanislao,175.0,ARG,0.075,228.0,-0.806,,0.963,,,0.058,303.0,134.0,22.301,,10877.0,-0.033,62.791,62.0,200.0,,,0.065,False,-1.687,"{'baseline_pred': nan, 'final_pred': nan}",-1.687,0.044,0.925,,-0.003,0.0,,-0.146,0.607,0.428,0.048,,0.0,,385.0,Goya,,-0.146,0.045,0.326,-0.003,,,0.765,3.0,-0.04,,-0.015,-0.033,0.0,,471.0,,0.027,275.0,107.0,,274.0,,275.0,0.0,0.942,-0.488,-3.0,0.835,385.0,-0.848,,264.0,86.0,-0.18,75.0,10877.0,24.199,48.433,,0.0,330.0,-0.848,,-0.083,,0.0,10877.0,34.882,247.0,0.603,-0.06,-0.806,179.0,,,,Argentina,-0.488,,"{'sg_putt': -0.146, 'sg_arg': -0.033, 'sg_app': -0.488, 'sg_ott': -0.18, 'sg_total': -0.848}","Goya, Estanislao",36.587,-0.18,0.903,0,0.925,0.0,Korn Ferry Tour,0.909,
Nate,98.0,USA,0.063,352.0,-0.235,2.64860929700504,0.941,USA,0.0286680396257702,0.063,169.0,338.0,16.455,0.0958881614008674,10943.0,0.064,62.664,155.0,556.0,,-0.143274710212112,0.068,False,-8.94,"{'baseline_pred': -0.143274710212112, 'final_pred': -0.237327929020959}",-8.94,0.068,0.924,-0.145878598665389,0.02,0.0,0.0,-0.079,0.691,0.466,0.071,0.0,0.0,0.0286147560648612,197.0,Lashley,0.0085550538387396,-0.079,0.036,0.361,0.02,0.0018118624793164,150.0,0.795,-17.0,0.02,-0.0001892106602855,-0.003,0.064,0.0,215.0,180.0,-0.0785684834178059,0.051,150.0,237.0,0.0016226518190309,763.0,10943.0,222.0,0.007,0.95,-0.068,-6.0,0.894,197.0,-0.513,,218.0,221.0,-0.43,145.0,10943.0,22.745,47.165,-0.0408547322034373,0.0,150.0,-0.513,41.0,0.033,110.0,0.0,10943.0,35.536,334.0,0.665,0.028,-0.235,111.0,0.0372230934645098,0.1054107459484137,-0.237327929020959,United States,-0.068,0.0078999327285155,"{'sg_putt': -0.079, 'sg_arg': 0.064, 'sg_app': -0.068, 'sg_ott': -0.43, 'sg_total': -0.513}","Lashley, Nate",30.202,-0.43,0.974,Top 125,0.948,0.0,PGA TOUR,0.953,
Brendan,,USA,,,-0.065,,,,,,,,,,11019.0,,,,,,,,False,,"{'baseline_pred': nan, 'final_pred': nan}",,,,,,,,,,,,,,,170.0,Steele,,,,,,,,,-5.0,,,,,,205.0,9999.0,,,295.0,,,,,,,,,0.0,,170.0,,,,,,355.0,,,,,,100.0,,,,180.0,,,,,,,-0.065,,,,,United States,,,"{'sg_putt': nan, 'sg_arg': nan, 'sg_app': nan, 'sg_ott': nan, 'sg_total': nan}","Steele, Brendan",,,,0,,,LIV Tour,,
Webb,17.0,USA,0.058,260.0,-0.222,2.68772104502467,0.962,USA,0.112112988565914,0.068,247.0,235.0,18.199,0.0266146916407816,11049.0,0.254,58.247,110.0,381.0,,-0.0419994420730222,0.068,,-2.68,"{'baseline_pred': -0.0419994420730222, 'final_pred': -0.167248037410325}",-2.68,0.058,0.949,0.0155348802136426,-0.011,0.0,0.0,-0.083,0.598,0.459,0.127,0.0,0.0,-0.097283398690559,195.0,Simpson,0.0590536112813964,-0.083,0.043,0.383,-0.011,0.0058686266777997,150.0,0.8,-32.0,0.047,-0.0024824916345162,-0.004,0.254,0.0,450.0,338.0,-0.215207890548053,-0.007,75.0,177.0,0.0033861350432835,536.0,11049.0,233.0,-0.002,0.981,-0.295,-15.0,0.835,195.0,-0.568,,222.0,162.0,-0.444,85.0,11049.0,22.897,47.18,-0.0291694995665017,0.0,90.0,-0.568,39.0,0.012,350.0,0.0,11049.0,38.658,338.0,0.552,-0.038,-0.222,219.0,0.17116659984731,0.0297107134068577,-0.167248037410325,United States,-0.295,-0.0002901132772074,"{'sg_putt': -0.083, 'sg_arg': 0.254, 'sg_app': -0.295, 'sg_ott': -0.444, 'sg_total': -0.568}","Simpson, Webb",32.216,-0.444,0.918,0,0.937,0.0,PGA TOUR,0.931,
Seung-Yul,54.0,KOR,0.074,271.0,-0.237,2.67411640289691,0.946,KOR,0.0164666614271909,0.04,194.0,147.0,15.983,0.0399017565850771,11117.0,0.127,72.94,80.0,230.0,,-0.3474981172612,0.07,,-3.432,"{'baseline_pred': -0.3474981172612, 'final_pred': -0.304883503583489}",-3.432,0.054,0.947,-0.0923007439112903,-0.033,0.0,0.0,0.152,0.665,0.472,0.062,0.0,0.0,0.0634639802125259,198.0,Noh,0.0154064947318492,0.152,0.027,0.335,-0.033,0.0096174807938587,150.0,0.814,34.0,-0.027,-0.0020509271591642,0.012,0.127,0.0,25.0,326.0,0.0058560031857148,0.047,310.0,114.0,0.0075665536346945,278.0,11117.0,192.0,-0.038,0.968,-0.164,17.0,0.854,198.0,-0.354,,87.0,126.0,-0.468,50.0,11117.0,22.386,47.314,-0.003608053173205,0.0,95.0,-0.354,33.0,0.039,40.0,0.0,11117.0,37.103,343.0,0.611,-0.056,-0.237,308.0,0.0318731561590401,0.037330271204925,-0.304883503583489,Korea - Republic of,-0.164,-0.0101380390148466,"{'sg_putt': 0.152, 'sg_arg': 0.127, 'sg_app': -0.164, 'sg_ott': -0.468, 'sg_total': -0.354}","Noh, Seung-Yul",35.443,-0.468,0.963,0,0.957,0.0,PGA TOUR,0.896,
Billy,57.0,USA,0.075,226.0,0.691,,0.965,,,0.043,124.0,345.0,16.021,,11276.0,0.126,60.18,154.0,480.0,,,0.04,,-1.575,"{'baseline_pred': nan, 'final_pred': nan}",-1.575,0.042,0.973,,0.021,0.0,,0.219,0.673,0.469,0.078,,0.0,,52.0,Horschel,,0.219,0.078,0.345,0.021,,,0.843,-3.0,-0.022,,0.027,0.126,0.0,330.0,17.0,,-0.014,225.0,223.0,,734.0,,71.0,0.004,0.966,0.069,0.0,0.901,52.0,0.506,,55.0,235.0,0.091,10.0,11276.0,21.311,50.331,,0.0,150.0,0.506,,0.031,240.0,0.0,11276.0,41.596,139.0,0.576,-0.016,0.691,106.0,,,,United States,0.069,,"{'sg_putt': 0.219, 'sg_arg': 0.126, 'sg_app': 0.069, 'sg_ott': 0.091, 'sg_total': 0.506}","Horschel, Billy",32.955,0.091,0.948,Top 30,0.952,0.0,PGA TOUR,0.946,
Peter,,USA,,,0.014,,,,,,,,,,11357.0,,,,,,,,,,"{'baseline_pred': nan, 'final_pred': nan}",,,,,,,,,,,,,,,158.0,Uihlein,,,,,,,,,-22.0,,,,,,100.0,241.0,,,275.0,,,,,,,,,-3.0,,158.0,,,,,,365.0,,,,,,265.0,,,,515.0,,,,,,,0.014,,,,,United States,,,"{'sg_putt': nan, 'sg_arg': nan, 'sg_app': nan, 'sg_ott': nan, 'sg_total': nan}","Uihlein, Peter",,,,0,,,LIV Tour,,
James,369.0,USA,0.08,287.0,-1.071,2.6954662440818,0.919,USA,0.0070201998747293,0.045,336.0,210.0,19.75,0.0418595215726041,11374.0,-0.259,63.944,113.0,339.0,,-1.0631817554344,0.063,,-4.215,"{'baseline_pred': -1.0631817554344, 'final_pred': -1.18041878406547}",-4.215,0.041,0.901,-0.0416350538876132,0.015,0.0,0.0,-0.177,0.649,0.46,0.097,0.0,0.0,-0.0368927279405191,485.0,Hahn,0.0087713603145085,-0.177,0.081,0.375,0.015,-0.0161777314374892,150.0,0.782,6.0,-0.009,-0.0057026422698089,-0.017,-0.259,0.0,155.0,9999.0,-0.0328436165700574,-0.006,10.0,142.0,-0.0218803737072981,460.0,11374.0,332.0,-0.045,0.948,-0.583,0.0,0.83,485.0,-1.238,,287.0,134.0,-0.22,100.0,11374.0,24.039,52.275,-0.0456018579621924,0.0,150.0,-1.238,43.0,-0.021,80.0,0.0,11374.0,40.372,266.0,0.632,-0.037,-1.071,128.0,0.0157915601892379,0.0239446675400713,-1.18041878406547,United States,-0.583,0.0039655196747653,"{'sg_putt': -0.177, 'sg_arg': -0.259, 'sg_app': -0.583, 'sg_ott': -0.22, 'sg_total': -1.238}","Hahn, James",33.884,-0.22,0.92,0,0.912,0.0,PGA TOUR,0.928,
Brice,85.0,USA,0.065,380.0,-0.465,2.70437518574469,0.944,USA,0.0636989691894984,0.047,181.0,267.0,19.16,0.135482614667774,11451.0,0.079,70.494,92.0,417.0,,-0.468058965547064,0.015,,-12.592,"{'baseline_pred': -0.468058965547064, 'final_pred': -0.5125839033293}",-12.592,0.084,0.916,0.0060322879136953,0.057,0.0,0.0,-0.257,0.696,0.46,0.054,0.0,0.0,-0.189376798600577,277.0,Garnett,-0.0108151672397273,-0.257,0.064,0.327,0.057,-0.0081189493195742,150.0,0.793,2.0,-0.049,-0.0016892022019021,-0.008,0.079,0.0,135.0,190.0,-0.0229759583016034,-0.085,145.0,131.0,-0.0098081515214764,549.0,11451.0,232.0,-0.001,0.907,-0.097,-3.0,0.876,277.0,-0.567,,331.0,150.0,-0.292,30.0,11451.0,23.05,48.508,-0.0375682605242991,0.0,170.0,-0.567,41.0,-0.035,215.0,0.0,11451.0,42.994,293.0,0.536,0.033,-0.465,31.0,0.0528838019497711,0.1464799897807771,-0.5125839033293,United States,-0.097,0.0208055266344795,"{'sg_putt': -0.257, 'sg_arg': 0.079, 'sg_app': -0.097, 'sg_ott': -0.292, 'sg_total': -0.567}","Garnett, Brice",30.745,-0.292,0.957,Top 125,0.945,0.0,PGA TOUR,0.96,
Dan,,USA,,,-0.701,,,,,,,,,,11594.0,,,,,,,,,,"{'baseline_pred': nan, 'final_pred': nan}",,,,,,,,,,,,,,,344.0,McCarthy,,,,,,,,,0.0,,,,,,330.0,9999.0,,,160.0,,,,,,,,,0.0,,344.0,,,,,,140.0,,,,,,55.0,,,,295.0,,,,,,,-0.701,,,,,United States,,,"{'sg_putt': nan, 'sg_arg': nan, 'sg_app': nan, 'sg_ott': nan, 'sg_total': nan}","McCarthy, Dan",,,,0,,,Korn Ferry Tour,,
Henrik,148.0,SWE,0.054,318.0,0.134,2.65743689342841,0.974,SWE,0.0475609627306932,0.054,36.0,265.0,19.188,0.0719336974011119,11657.0,0.002,56.384,112.0,423.0,,0.0201589066910692,0.085,,-6.395,"{'baseline_pred': 0.0201589066910692, 'final_pred': 0.256459522583231}",-6.395,0.056,0.951,8.0094854844752e-05,0.038,0.0,0.0,-0.224,0.676,0.517,0.062,0.0,0.0,0.078575422572611,137.0,Norlander,0.0359587615538739,-0.224,0.06,0.299,0.038,-0.0064254697453901,150.0,0.793,20.0,0.019,0.0032360059764252,-0.002,0.002,0.0,50.0,183.0,0.0156569180673898,0.026,130.0,142.0,-0.0031894637689649,590.0,11657.0,129.0,0.025,0.973,0.386,10.0,0.833,137.0,0.142,,317.0,184.0,-0.022,65.0,11657.0,23.026,47.922,-0.021866229168417,0.0,95.0,0.142,37.0,-0.036,200.0,0.0,11657.0,38.865,182.0,0.559,0.021,0.134,67.0,0.0835197242845671,0.0803346852811665,0.256459522583231,Sweden,0.386,0.0115904516490195,"{'sg_putt': -0.224, 'sg_arg': 0.002, 'sg_app': 0.386, 'sg_ott': -0.022, 'sg_total': 0.142}","Norlander, Henrik",29.951,-0.022,0.92,Top 125,0.941,0.0,PGA TOUR,0.947,
Tony,23.0,USA,0.082,84.0,1.204,,0.966,,,0.08,6.0,408.0,16.451,,11676.0,0.241,53.64,178.0,585.0,,,0.062,,6.613,"{'baseline_pred': nan, 'final_pred': nan}",6.613,0.062,0.952,,-0.005,0.0,,-0.102,0.725,0.535,0.09,,0.0,,20.0,Finau,,-0.102,0.076,0.449,-0.005,,,0.834,0.0,0.085,,0.018,0.241,0.0,430.0,26.0,,0.063,245.0,290.0,,864.0,,19.0,0.081,0.968,0.827,-1.0,0.875,20.0,1.249,,234.0,312.0,0.282,150.0,11676.0,21.829,41.929,,0.0,405.0,1.249,,0.036,470.0,0.0,11676.0,33.993,63.0,0.666,0.042,1.204,195.0,,,,United States,0.827,,"{'sg_putt': -0.102, 'sg_arg': 0.241, 'sg_app': 0.827, 'sg_ott': 0.282, 'sg_total': 1.249}","Finau, Tony",29.554,0.282,0.955,Top 30,0.952,0.0,PGA TOUR,0.951,
Ryan,200.0,NZL,0.066,49.0,0.085,,0.967,,,0.06,143.0,300.0,16.77,,11889.0,-0.058,60.272,156.0,456.0,,,0.057,,8.93,"{'baseline_pred': nan, 'final_pred': nan}",8.93,0.054,0.932,,-0.06,0.0,,-0.026,0.645,0.42,0.083,,0.0,,146.0,Fox,,-0.026,0.037,0.372,-0.06,,,0.813,1.0,0.03,,0.014,-0.058,0.0,10.0,81.0,,0.003,60.0,263.0,,594.0,,133.0,-0.023,0.961,0.023,-1.0,0.891,146.0,0.121,,183.0,281.0,0.182,25.0,11889.0,22.099,47.747,,0.0,10.0,0.121,,0.018,,0.0,11889.0,38.594,103.0,0.595,-0.01,0.085,369.0,,,,New Zealand,0.023,,"{'sg_putt': -0.026, 'sg_arg': -0.058, 'sg_app': 0.023, 'sg_ott': 0.182, 'sg_total': 0.121}","Fox, Ryan",31.574,0.182,0.955,Top 125,0.947,0.0,PGA TOUR,0.934,
Branden,,RSA,,,-0.346,,,,,,,,,,11952.0,,,,,,,,,,"{'baseline_pred': nan, 'final_pred': nan}",,,,,,,,,,,,,,,239.0,Grace,,,,,,,,,-1.0,,,,,,130.0,9999.0,,,175.0,,,,,,,,,0.0,,239.0,,,,,,395.0,,,,,,255.0,,,,325.0,,,,,,,-0.346,,,,,South Africa,,,"{'sg_putt': nan, 'sg_arg': nan, 'sg_app': nan, 'sg_ott': nan, 'sg_total': nan}","Grace, Branden",,,,0,,,LIV Tour,,
Tommy,38.0,ENG,0.083,191.0,1.537,,0.967,,,0.053,4.0,420.0,16.821,,12294.0,0.199,60.237,132.0,517.0,,,0.026,,0.341,"{'baseline_pred': nan, 'final_pred': nan}",0.341,0.052,0.932,,0.069,0.0,,0.074,0.682,0.496,0.068,,0.0,,8.0,Fleetwood,,0.074,0.05,0.367,0.069,,,0.853,0.0,0.044,,0.035,0.199,0.0,165.0,9.0,,-0.041,175.0,191.0,,840.0,,7.0,0.028,0.974,0.857,0.0,0.861,8.0,1.588,,126.0,265.0,0.458,270.0,12294.0,20.994,47.55,,0.0,210.0,1.588,,-0.004,55.0,0.0,12294.0,41.462,25.0,0.578,0.018,1.537,18.0,,,,England,0.857,,"{'sg_putt': 0.074, 'sg_arg': 0.199, 'sg_app': 0.857, 'sg_ott': 0.458, 'sg_total': 1.588}","Fleetwood, Tommy",29.914,0.458,0.97,Top 30,0.934,0.0,PGA TOUR,0.949,
Jason,,USA,,,-0.294,,,,,,,,,,12337.0,,,,,,,,,,"{'baseline_pred': nan, 'final_pred': nan}",,,,,,,,,,,,,,,216.0,Kokrak,,,,,,,,,1.0,,,,,,230.0,9999.0,,,330.0,,,,,,,,,0.0,,216.0,,,,,,315.0,,,,,,155.0,,,,335.0,,,,,,,-0.294,,,,,United States,,,"{'sg_putt': nan, 'sg_arg': nan, 'sg_app': nan, 'sg_ott': nan, 'sg_total': nan}","Kokrak, Jason",,,,0,,,LIV Tour,,
Dustin,138.0,USA,0.071,47.0,0.315,,0.949,,,0.052,142.0,99.0,13.058,,12422.0,0.012,60.457,47.0,85.0,,,0.054,,9.125,"{'baseline_pred': nan, 'final_pred': nan}",9.125,0.041,0.892,,-0.013,1.0,,-0.018,0.599,0.463,0.128,,1.0,,106.0,Johnson,,-0.018,0.02,0.383,-0.013,,,0.806,-2.0,0.006,,0.014,0.012,0.0,565.0,481.0,,-0.094,395.0,37.0,,123.0,,107.0,0.01,0.983,0.026,-14.0,0.931,106.0,0.264,,179.0,58.0,0.244,515.0,12422.0,21.814,49.687,,0.0,350.0,0.264,,0.069,195.0,0.0,12422.0,42.64,79.0,0.507,-0.04,0.315,231.0,,,,United States,0.026,,"{'sg_putt': -0.018, 'sg_arg': 0.012, 'sg_app': 0.026, 'sg_ott': 0.244, 'sg_total': 0.264}","Johnson, Dustin",31.111,0.244,0.957,0,0.965,0.0,LIV Tour,0.919,
Chris,52.0,USA,0.07,232.0,0.43,2.66189009626799,0.948,USA,0.117524948503674,0.025,52.0,385.0,15.162,0.016121758636312,12423.0,0.13,70.114,208.0,572.0,,0.474070400755023,0.107,,-1.741,"{'baseline_pred': 0.474070400755023, 'final_pred': 0.624482085292413}",-1.741,0.065,0.944,0.135503059751868,0.035,0.0,0.0,-0.163,0.687,0.412,0.077,0.0,0.0,-0.159808887459858,83.0,Kirk,0.055892037338099,-0.163,0.049,0.333,0.035,-0.0025569394941508,150.0,0.841,-2.0,-0.019,0.0027314805512474,0.051,0.13,0.0,175.0,46.0,0.0034839444093013,0.059,195.0,234.0,0.0001745410570966,833.0,12423.0,74.0,-0.018,0.943,0.315,-2.0,0.863,83.0,0.496,,278.0,244.0,0.213,170.0,12423.0,20.083,50.69,-0.0302649901262144,0.0,240.0,0.496,39.0,0.037,225.0,0.0,12423.0,35.952,92.0,0.618,0.023,0.43,72.0,0.173416985841773,0.0280815721205196,0.624482085292413,United States,0.315,0.0117852724271111,"{'sg_putt': -0.163, 'sg_arg': 0.13, 'sg_app': 0.315, 'sg_ott': 0.213, 'sg_total': 0.496}","Kirk, Chris",30.127,0.213,0.933,Top 30,0.967,0.0,PGA TOUR,0.956,
Daniel,,USA,,,-0.38,,,,,,,,,,12424.0,,,,,,,,,,"{'baseline_pred': nan, 'final_pred': nan}",,,,,,,,,,,,,,,248.0,Summerhays,,,,,,,,,-2.0,,,,,,80.0,344.0,,,395.0,,,,,,,,,-7.0,,248.0,,,,,,160.0,,,,,,10.0,,,,20.0,,,,,,,-0.38,,,,,United States,,,"{'sg_putt': nan, 'sg_arg': nan, 'sg_app': nan, 'sg_ott': nan, 'sg_total': nan}","Summerhays, Daniel",,,,0,,,Korn Ferry Tour,,
Brendon,20.0,USA,0.086,400.0,-0.084,2.680233502539,0.942,USA,0.078459517325245,0.052,305.0,465.0,15.074,0.191968627927324,12425.0,0.247,62.253,229.0,663.0,,-0.0719356027392222,0.042,,-17.973,"{'baseline_pred': -0.0719356027392222, 'final_pred': 0.110858511603294}",-17.973,0.051,0.944,-0.0521414124538226,0.077,0.0,0.0,0.341,0.65,0.453,0.109,0.0,0.0,0.0178049440301391,175.0,Todd,0.0146667591502391,0.341,0.067,0.349,0.077,0.0228681934437915,150.0,0.779,-9.0,0.016,-0.004414710446233,0.02,0.247,0.0,240.0,91.0,-0.0838300171653863,-0.007,175.0,216.0,0.0184534829975584,1040.0,12425.0,179.0,-0.008,0.959,-0.491,-4.0,0.91,175.0,-0.293,,23.0,271.0,-0.389,160.0,12425.0,21.882,51.457,-0.029534663086406,0.0,255.0,-0.293,39.0,0.065,245.0,0.0,12425.0,37.36,322.0,0.622,-0.024,-0.084,14.0,0.093126276475484,0.2373689865425076,0.110858511603294,United States,-0.491,0.0269468756176253,"{'sg_putt': 0.341, 'sg_arg': 0.247, 'sg_app': -0.491, 'sg_ott': -0.389, 'sg_total': -0.293}","Todd, Brendon",33.479,-0.389,0.969,Top 100,0.935,0.0,PGA TOUR,0.925,
William,133.0,USA,0.055,401.0,-1.018,2.62266494948851,0.962,USA,0.0581891358972627,0.024,308.0,130.0,21.512,0.185407127500882,12477.0,0.016,68.794,47.0,218.0,,-1.02250626795173,0.015,,-18.157,"{'baseline_pred': -1.02250626795173, 'final_pred': -0.781818326767582}",-18.157,0.071,0.909,-0.0685961424914119,0.057,0.0,0.0,-0.106,0.669,0.457,0.085,0.0,0.0,0.0985659956795989,462.0,McGirt,0.0285170976221697,-0.106,0.046,0.234,0.057,-0.0013227945964245,150.0,0.831,13.0,-0.11,-0.0050328715653772,-0.017,0.016,0.0,10.0,9999.0,-0.0182165026343013,-0.081,20.0,66.0,-0.0063556661618018,281.0,12477.0,320.0,0.013,0.953,-0.5,0.0,0.867,462.0,-1.136,,236.0,85.0,-0.545,20.0,12477.0,23.698,50.8,-0.0561916000394151,0.0,80.0,-1.136,45.0,-0.029,50.0,0.0,12477.0,44.855,358.0,0.47,0.017,-1.018,33.0,0.0867062335194321,0.1984199571502425,-0.781818326767582,United States,-0.5,0.0193684958111623,"{'sg_putt': -0.106, 'sg_arg': 0.016, 'sg_app': -0.5, 'sg_ott': -0.545, 'sg_total': -1.136}","McGirt, William",32.569,-0.545,0.894,0,0.963,0.0,PGA TOUR,0.947,
